#{"t_start": 1764105416.99119, "env_id": "Gym-Gridworlds/CliffWalk-4x12-v0"}
r,l,t
-100.0,1,17.087751
-4.6875,46,17.094384
-104.916667,34,17.099243
-6.541667,79,17.110465
-8.270833,108,17.125719
-7.770833,65,17.134954
-109.645833,106,17.14992
-7.25,81,17.16131
-9.479167,120,17.178176
-4.854167,60,17.186633
-4.958333,49,17.193527
-10.6875,146,17.21399
-101.0,5,17.214721
-100.0,1,17.21489
-8.8125,110,17.230423
-7.395833,75,17.24126
-7.5625,103,17.256124
-100.0,1,17.256297
-108.166667,73,17.266848
-4.5625,38,17.272359
-100.0,1,17.272528
-106.958333,49,17.279599
-7.583333,79,17.290949
-5.770833,66,17.300451
-7.770833,86,17.312891
-5.958333,76,17.323892
-105.020833,53,17.331559
-15.75,200,17.36038
-8.9375,90,17.373452
-10.958333,122,18.014947
-9.25,124,18.03251
-5.583333,72,18.042816
-100.0,1,18.042988
-100.0,1,18.043157
-12.645833,171,18.067671
-8.541667,78,18.078865
-3.791667,33,18.083644
-7.895833,64,18.092806
-104.6875,37,18.09818
-7.208333,76,18.109104
-4.854167,50,18.116283
-9.979167,108,18.131737
-6.5625,53,18.139345
-8.208333,103,18.153986
-7.708333,98,18.167999
-6.479167,71,18.178188
-9.583333,123,18.19577
-4.145833,37,18.201084
-14.354167,200,18.229663
-10.479167,132,18.248593
-9.645833,125,18.266352
-9.916667,98,18.28038
-100.0,1,18.280547
-9.125,115,18.916944
-7.229167,90,18.929483
-5.895833,63,18.938271
-5.916667,71,18.948321
-3.729167,29,18.952436
-104.104167,37,18.957674
-9.020833,113,18.97354
-7.166667,83,18.985302
-5.895833,54,18.992926
-4.020833,35,18.997903
-5.583333,46,19.004396
-3.75,37,19.009633
-8.75,118,19.026724
-8.375,114,19.042626
-5.395833,61,19.051131
-5.354167,45,19.057386
-4.354167,54,19.064881
-4.208333,41,19.070562
-3.854167,44,19.076673
-6.791667,57,19.084568
-4.895833,36,19.089577
-106.3125,67,19.098842
-100.479167,3,19.099287
-107.895833,92,19.111997
-1.729167,18,19.114543
-9.020833,104,19.12898
-105.3125,31,19.133299
-3.3125,39,19.138729
-4.875,52,19.14598
-4.75,51,19.15302
-3.708333,29,19.157045
-5.6875,51,19.164106
-4.25,56,19.171835
-6.270833,81,19.183024
-3.291667,31,19.187357
-7.458333,91,19.820833
-5.333333,49,19.828046
-3.229167,30,19.832404
-4.104167,39,19.838018
-7.458333,107,19.853197
-100.0,1,19.853378
-4.229167,41,19.859237
-4.354167,56,19.867256
-6.854167,51,19.874515
-108.854167,78,19.885562
-5.166667,43,19.89166
-4.541667,58,19.899876
-4.958333,39,19.905419
-4.229167,35,19.910396
-8.1875,88,19.922859
-7.541667,116,19.939359
-5.208333,49,19.946325
-4.708333,41,19.952186
-4.791667,50,19.959293
-5.583333,50,19.966407
-3.5625,32,19.971005
-3.0,34,19.975845
-5.0625,49,19.983048
-5.104167,50,19.990264
-3.3125,30,19.994614
-4.666667,61,20.003289
-2.3125,25,20.006833
-5.3125,64,20.01609
-5.416667,49,20.022922
-3.916667,41,20.028623
-3.916667,32,20.033071
-4.770833,58,20.041059
-6.520833,66,20.05024
-6.208333,78,20.061278
-3.645833,30,20.06557
-4.958333,48,20.072362
-7.6875,73,20.082709
-5.104167,53,20.090194
-3.1875,29,20.094311
-3.229167,42,20.100246
-112.6875,101,20.735232
-6.916667,81,20.747083
-5.354167,38,20.75256
-4.958333,39,20.758139
-2.458333,33,20.762876
-1.729167,25,20.766477
-2.375,30,20.770767
-5.125,40,20.776467
-2.458333,24,20.779904
-4.166667,43,20.786083
-5.145833,46,20.79263
-2.875,23,20.795935
-4.1875,35,20.800958
-2.291667,23,20.804313
-7.270833,63,20.813281
-5.8125,80,20.82465
-100.0,1,20.824822
-8.0,97,20.838584
-5.770833,58,20.84685
-3.25,30,20.851168
-101.0,5,20.851921
-3.708333,40,20.857627
-3.333333,42,20.863634
-3.604167,45,20.870048
-3.416667,30,20.874328
-5.5,70,20.884294
-3.708333,36,20.889435
-3.666667,43,20.895589
-2.75,31,20.900085
-2.583333,24,20.903604
-3.3125,43,20.909885
-4.3125,49,20.917087
-5.833333,75,20.928074
-3.3125,45,20.934647
-3.75,29,20.938885
-2.895833,26,20.942728
-6.5,85,20.955081
-5.395833,62,20.96413
-4.104167,37,20.969555
-3.333333,34,20.974523
-4.479167,59,20.983348
-2.6875,26,20.987082
-7.104167,69,20.996835
-3.395833,33,21.001463
-4.291667,54,21.009127
-3.916667,43,21.015419
-4.25,33,21.020127
-4.875,54,21.677968
-101.75,9,21.679399
-2.770833,36,21.684671
-3.541667,31,21.689196
-3.5,31,21.693675
-4.0625,46,21.700331
-2.166667,22,21.703558
-4.125,35,21.708605
-3.895833,38,21.714083
-1.6875,25,21.717725
-2.6875,23,21.721038
-3.041667,40,21.726816
-4.458333,49,21.733809
-5.354167,45,21.740237
-2.354167,21,21.743251
-2.458333,21,21.746272
-2.6875,28,21.750307
-2.354167,23,21.7536
-4.395833,46,21.760185
-2.166667,20,21.763062
-100.0,1,21.763236
-104.104167,29,21.767375
-100.0,1,21.76754
-3.020833,32,21.772129
-4.145833,34,21.777002
-101.4375,7,21.778057
-2.854167,36,21.783359
-3.354167,32,21.788093
-1.770833,20,21.791051
-2.0,29,21.795314
-2.020833,20,21.798299
-2.604167,30,21.802727
-2.666667,29,21.807075
-3.625,43,21.813389
-3.0,27,21.817378
-3.166667,36,21.822696
-103.4375,22,21.825988
-2.729167,28,21.830088
-102.8125,15,21.832314
-5.083333,39,21.838069
-2.729167,31,21.842615
-3.5,33,21.847498
-2.479167,24,21.851018
-2.770833,30,21.855443
-2.208333,23,21.858833
-2.104167,25,21.862536
-3.0,27,21.866515
-2.6875,23,21.869917
-3.395833,31,21.874467
-3.958333,47,21.881346
-3.833333,32,21.88605
-2.4375,29,21.89035
-4.0625,69,21.900473
-3.791667,31,21.905033
-2.166667,22,21.908296
-2.708333,29,21.912567
-2.604167,30,21.917003
-3.458333,48,21.92402
-2.6875,27,21.928034
-3.604167,40,21.933912
-103.6875,19,21.93674
-103.979167,20,21.939737
-2.770833,30,21.944122
-2.166667,21,21.947234
-3.166667,27,21.951205
-2.166667,23,21.954607
-4.270833,30,21.959015
-3.625,27,21.962969
-3.729167,30,21.967435
-104.104167,46,21.974169
-5.6875,48,22.600322
-3.25,28,22.604339
-3.291667,39,22.609844
-2.229167,23,22.613105
-4.375,43,22.619161
-2.1875,20,22.622063
-101.583333,8,22.623242
-2.770833,23,22.626582
-101.229167,6,22.627476
-3.125,32,22.632104
-2.5625,27,22.635993
-2.0625,21,22.63905
-1.645833,18,22.641661
-2.0625,19,22.644412
-3.125,42,22.650439
-2.666667,30,22.654744
-1.958333,26,22.658497
-2.583333,30,22.662812
-2.291667,28,22.666832
-3.3125,31,22.671264
-2.604167,25,22.674857
-3.6875,31,22.679322
-3.645833,42,22.685349
-3.354167,35,22.690356
-2.104167,22,22.693531
-3.645833,30,22.697858
-2.166667,19,22.700588
-1.895833,21,22.703607
-2.8125,24,22.70706
-2.729167,32,22.711645
-3.083333,27,22.715532
-2.791667,32,22.720145
-105.916667,70,22.730154
-3.166667,33,22.734883
-2.9375,26,22.73861
-1.770833,20,22.74148
-3.1875,28,22.74548
-2.041667,21,22.748509
-2.1875,22,22.751707
-2.645833,28,22.755706
-1.645833,18,22.758305
-2.625,25,22.761893
-2.354167,21,22.764904
-2.291667,24,22.768362
-4.1875,42,22.774345
-2.895833,23,22.777658
-3.125,32,22.782231
-2.25,25,22.785813
-100.0,1,22.786001
-3.3125,35,22.790997
-3.583333,38,22.796433
-3.333333,36,22.801569
-3.479167,33,22.806347
-3.354167,34,22.811209
-2.395833,31,22.815635
-4.4375,49,22.822616
-2.791667,25,22.826362
-2.291667,23,22.829905
-3.041667,29,22.834178
-2.666667,22,22.837436
-3.020833,28,22.841552
-4.166667,51,22.849074
-2.479167,26,22.852944
-2.145833,19,22.855777
-2.895833,29,22.859923
-2.708333,27,22.863774
-3.354167,34,22.868625
-3.708333,33,22.873357
-3.270833,37,22.878648
-1.9375,23,22.881962
-2.1875,26,22.885713
-100.479167,3,22.886176
-2.104167,22,22.889343
-1.729167,21,23.51266
-1.708333,20,23.515659
-103.270833,24,23.519127
-101.895833,9,23.520444
-3.1875,28,23.524438
-2.1875,23,23.527747
-2.125,24,23.531173
-100.0,1,23.531337
-100.0,1,23.531497
-2.854167,28,23.535464
-2.145833,21,23.53845
-2.25,25,23.542051
-2.25,21,23.54502
-2.5,23,23.548307
-2.541667,27,23.552124
-100.0,1,23.552315
-2.145833,23,23.555612
-1.875,19,23.558308
-1.9375,22,23.561438
-3.125,34,23.566253
-1.979167,22,23.569352
-3.125,25,23.572885
-1.5,19,23.575579
-2.270833,24,23.578982
-3.229167,27,23.582809
-2.354167,22,23.585913
-1.8125,20,23.588759
-1.645833,18,23.591393
-102.645833,20,23.594297
-2.5625,29,23.598508
-100.916667,5,23.599253
-2.25,23,23.602593
-2.3125,24,23.606077
-2.166667,22,23.609306
-1.833333,19,23.612068
-1.729167,18,23.614698
-1.979167,21,23.617763
-2.229167,21,23.620828
-1.729167,21,23.623883
-1.958333,22,23.627059
-2.6875,27,23.630986
-1.645833,18,23.633605
-1.708333,21,23.636637
-1.833333,21,23.639682
-3.5625,38,23.645179
-2.291667,21,23.648236
-1.916667,22,23.651426
-2.5625,28,23.655493
-1.6875,18,23.658102
-2.75,30,23.662494
-2.604167,29,23.666669
-1.6875,19,23.669419
-2.270833,22,23.672637
-102.791667,16,23.674978
-2.041667,20,23.677874
-2.75,30,23.68222
-2.0625,25,23.685827
-2.520833,26,23.689587
-3.104167,27,23.693487
-1.895833,22,23.69669
-2.125,21,23.699732
-2.375,22,23.702928
-2.6875,26,23.706683
-2.208333,21,23.709721
-2.416667,21,23.712777
-2.0625,21,23.715823
-2.8125,27,23.719773
-2.0625,22,23.722962
-2.291667,23,23.726286
-2.041667,21,23.729377
-2.791667,25,23.732992
-1.916667,21,23.73603
-2.6875,29,23.740287
-1.541667,20,23.743227
-3.541667,32,23.747844
-2.3125,26,23.751625
-2.25,21,23.754688
-2.479167,29,23.758891
-3.145833,26,23.762676
-2.3125,24,23.766188
-3.0,27,23.770101
-2.125,23,23.773435
-1.291667,17,23.775913
-2.479167,24,23.779403
-2.458333,25,23.783023
-2.1875,25,23.786639
-2.25,20,23.789555
-1.604167,20,23.792488
-1.6875,21,23.795541
-2.604167,24,23.79904
-101.416667,8,23.800243
-1.604167,18,23.802923
-2.041667,20,23.80587
