#{"t_start": 1764783648.738105, "env_id": "Gym-Gridworlds/FourRooms-Original-13x13-v0"}
r,l,t
-0.349112,23,8.149373
0.609467,12,8.152945
0.674556,11,8.156926
0.094675,22,8.165487
-0.011834,19,8.170978
0.538462,13,8.175509
0.289941,17,8.180754
-0.011834,19,8.186364
0.87574,7,8.187769
-0.538462,29,8.19676
-0.142012,23,8.203473
0.87574,7,8.205536
0.230769,17,8.210288
-0.366864,23,8.217703
0.994083,2,8.219308
0.130178,22,8.225613
-0.230769,28,8.233397
-0.390533,23,8.240267
0.538462,13,8.244914
0.674556,11,8.2482
0.195266,17,8.252809
0.668639,12,8.256179
0.923077,6,8.259617
0.982249,3,8.260146
0.781065,10,8.264102
0.698225,11,8.267819
0.550296,13,8.272033
0.443787,16,8.286161
-3.639053,69,8.348719
0.733728,10,8.352707
0.982249,3,8.353918
-0.284024,22,8.361627
0.940828,5,8.362992
0.964497,4,8.364268
0.443787,17,8.3701
0.899408,7,8.372346
0.43787,15,8.377077
0.461538,14,8.38062
0.094675,19,8.386831
-3.568047,68,8.406556
-1.011834,44,8.419814
0.733728,10,8.42305
0.786982,9,8.426343
0.378698,15,8.430901
0.230769,17,8.43553
-0.349112,24,8.442993
0.088757,21,8.449652
0.272189,19,8.455359
0.911243,6,8.45674
0.16568,18,8.46251
0.372781,17,8.467891
1.0,1,8.468039
0.940828,5,8.470164
0.597633,13,8.473718
0.455621,17,8.479825
0.798817,9,8.482293
0.094675,18,8.487887
0.745562,10,8.490475
0.094675,22,8.498417
0.112426,21,8.504318
0.195266,17,8.509344
0.467456,16,8.513945
0.177515,18,8.52022
-4.544379,95,8.548061
0.230769,17,8.552793
0.514793,17,8.557663
0.83432,9,8.561108
0.745562,11,8.564298
0.366864,18,8.569699
0.568047,14,8.573452
-0.236686,22,8.581346
-0.538462,25,8.588265
0.609467,12,8.591756
0.87574,7,8.594349
-0.272189,22,8.601624
0.236686,18,8.607089
0.047337,19,8.612632
-0.059172,37,8.623562
0.745562,11,8.627704
0.195266,17,8.633239
0.307692,19,8.638
0.87574,10,8.641393
-1.183432,46,8.655467
0.964497,4,8.656817
-15.455621,165,8.705344
0.83432,8,8.707844
0.786982,9,8.711678
0.786982,9,8.714225
0.514793,16,8.718762
0.964497,4,8.719907
0.786982,9,8.723159
0.550296,13,8.72817
0.420118,17,8.732756
0.982249,3,8.733762
0.609467,12,8.73823
0.994083,2,8.738432
0.650888,14,8.742957
0.982249,3,8.743326
0.911243,6,8.746333
0.597633,13,8.749976
0.940828,5,8.75125
-0.757396,27,8.759904
0.994083,2,8.762407
0.887574,7,8.763882
-0.420118,24,8.770925
0.798817,9,8.773892
-0.455621,24,8.781916
0.982249,3,8.782282
0.52071,15,8.786886
0.83432,8,8.7897
0.461538,14,8.795315
-0.005917,20,8.801281
0.674556,11,8.803939
0.87574,7,8.806277
-0.384615,24,8.814393
0.83432,8,8.816596
0.633136,12,8.819965
0.798817,9,8.82262
0.656805,12,8.826817
-1.402367,46,8.840699
0.544379,14,8.845316
0.769231,10,8.848562
-0.011834,19,8.85508
-0.307692,23,8.861088
0.467456,15,8.865599
0.094675,18,8.870947
0.094675,18,8.876716
-1.053254,30,8.885469
0.686391,11,8.888441
0.585799,13,8.893107
-0.366864,23,8.900111
0.609467,12,8.903685
-1.059172,56,8.919455
0.934911,6,8.921606
0.591716,36,8.93288
-4.236686,77,8.954628
0.745562,10,8.957881
0.378698,15,8.961727
-0.08284,23,8.968751
0.940828,5,8.969971
0.573964,16,8.974355
1.0,1,8.975221
0.87574,7,8.977554
0.408284,17,8.982963
0.674556,11,8.985566
0.52071,15,8.990063
0.16568,18,8.996704
0.544379,14,9.000392
-0.597633,28,9.009007
-0.869822,59,9.02744
0.544379,14,9.032035
0.289941,16,9.03666
0.87574,7,9.038936
0.272189,20,9.044882
-0.526627,25,9.052592
0.982249,3,9.053606
0.686391,11,9.056986
0.745562,10,9.059744
0.497041,15,9.064786
0.982249,3,9.065801
0.87574,7,9.068035
-2.781065,76,9.089259
0.621302,13,9.093897
0.106509,19,9.099318
0.798817,9,9.1018
0.384615,17,9.106365
-0.183432,21,9.113468
0.934911,6,9.115582
0.852071,13,9.119035
0.360947,16,9.124038
0.87574,7,9.127061
0.112426,21,9.132839
0.112426,21,9.138576
0.982249,3,9.139656
0.887574,7,9.142769
0.295858,18,9.147492
0.668639,12,9.150916
0.674556,11,9.154109
0.207101,17,9.159654
0.289941,16,9.164068
0.591716,14,9.168174
0.213018,19,9.173482
0.87574,7,9.175824
-0.0,23,9.182399
0.491124,16,9.186775
0.745562,10,9.190333
0.502959,14,9.19465
0.940828,5,9.19598
-0.390533,23,9.202658
0.934911,6,9.204726
0.911243,6,9.206697
0.289941,16,9.211451
-0.284024,22,9.217826
0.112426,21,9.223601
0.87574,7,9.226731
-0.514793,26,9.2334
-0.91716,66,9.252951
0.964497,4,9.254053
0.621302,13,9.258552
